t,latitude,longitude,speed,heading
2021-01-06T07:03:11.000-0600,44.68916,-93.191183,0.0,187.0
2021-01-06T07:03:16.000-0600,44.68916,-93.191183,0.0,187.0
2021-01-06T07:03:19.000-0600,44.68916,-93.191183,0.0,187.0
2021-01-06T07:03:22.000-0600,44.689148,-93.191185,0.7145766,188.0
2021-01-06T07:03:25.000-0600,44.68912,-93.191194,1.4291532,193.0
2021-01-06T07:03:28.000-0600,44.689078,-93.191203,3.579097,187.0
2021-01-06T07:03:31.000-0600,44.689029,-93.191272,6.437403,233.0
2021-01-06T07:03:34.000-0600,44.689022,-93.191485,12.88102,269.0
2021-01-06T07:03:37.000-0600,44.689026,-93.191807,19.324638,270.0
2021-01-06T07:03:40.000-0600,44.689031,-93.19223,25.053677,271.0
2021-01-06T07:03:43.000-0600,44.689039,-93.192666,25.053677,271.0
2021-01-06T07:03:46.000-0600,44.689041,-93.193098,25.053677,270.0
2021-01-06T07:03:49.000-0600,44.689043,-93.193498,22.903734,270.0
2021-01-06T07:03:52.000-0600,44.689043,-93.193827,18.610062,270.0
2021-01-06T07:03:55.000-0600,44.68904,-93.194011,10.0165,269.0
2021-01-06T07:03:58.000-0600,44.689038,-93.194049,0.7145766,269.0
2021-01-06T07:04:01.000-0600,44.689084,-93.194184,8.587347,307.0
2021-01-06T07:04:04.000-0600,44.689253,-93.194185,14.316388,8.0
2021-01-06T07:04:07.000-0600,44.689476,-93.194139,18.610062,8.0
2021-01-06T07:04:10.000-0600,44.689575,-93.194123,7.158194,6.0
2021-01-06T07:04:13.000-0600,44.689585,-93.194122,0.0,6.0
2021-01-06T07:04:16.000-0600,44.689627,-93.194121,3.579097,3.0
2021-01-06T07:04:19.000-0600,44.689756,-93.194285,15.030964,309.0
2021-01-06T07:04:22.000-0600,44.689803,-93.194699,25.053677,275.0
2021-01-06T07:04:25.000-0600,44.689827,-93.195279,34.355602,273.0
2021-01-06T07:04:28.000-0600,44.689845,-93.195877,35.070175,272.0
2021-01-06T07:04:31.000-0600,44.689824,-93.196352,27.197407,265.0
2021-01-06T07:04:34.000-0600,44.689822,-93.196643,16.460117,274.0
2021-01-06T07:04:37.000-0600,44.689861,-93.19679,7.8727703,294.0
2021-01-06T07:04:40.000-0600,44.690033,-93.196981,18.610062,327.0
2021-01-06T07:04:43.000-0600,44.690368,-93.197053,28.632776,353.0
2021-01-06T07:04:46.000-0600,44.690786,-93.197075,34.355602,359.0
2021-01-06T07:04:49.000-0600,44.69124,-93.197077,37.220123,0.0
2021-01-06T07:04:52.000-0600,44.691714,-93.197082,39.36385,359.0
2021-01-06T07:04:55.000-0600,44.692213,-93.197093,41.513794,359.0
2021-01-06T07:04:58.000-0600,44.69272,-93.197101,41.513794,359.0
2021-01-06T07:05:01.000-0600,44.69323,-93.197106,41.513794,359.0
2021-01-06T07:05:04.000-0600,44.693741,-93.197109,42.22837,359.0
2021-01-06T07:05:07.000-0600,44.694264,-93.197116,42.942947,359.0
2021-01-06T07:05:10.000-0600,44.694782,-93.197122,42.942947,359.0
2021-01-06T07:05:13.000-0600,44.695282,-93.19713,40.79922,359.0
2021-01-06T07:05:16.000-0600,44.695777,-93.197143,40.79922,358.0
2021-01-06T07:05:19.000-0600,44.696276,-93.197155,40.79922,359.0
2021-01-06T07:05:22.000-0600,44.696777,-93.197161,41.513794,359.0
2021-01-06T07:05:25.000-0600,44.697277,-93.197168,40.79922,359.0
2021-01-06T07:05:28.000-0600,44.69777,-93.197175,40.79922,359.0
2021-01-06T07:05:31.000-0600,44.698261,-93.197182,40.084644,359.0
2021-01-06T07:05:34.000-0600,44.69875,-93.197193,40.084644,358.0
2021-01-06T07:05:37.000-0600,44.699234,-93.197202,39.36385,358.0
2021-01-06T07:05:40.000-0600,44.699709,-93.19721,38.649277,358.0
